countries,Livestock_prior,Waste_prior,Oil-Gas_prior,Rice_prior,Coal_prior,Reservoirs_prior,Other_prior,BiomassBurn_prior,Wetlands_prior,Termites_prior,Seeps_prior,AnthroTotal_prior,Total_prior,Livestock_post,Waste_post,Oil-Gas_post,Rice_post,Coal_post,Reservoirs_post,Other_post,BiomassBurn_post,Wetlands_post,Termites_post,Seeps_post,AnthroTotal_post,Total_post,Livestock_post_min,Waste_post_min,Oil-Gas_post_min,Rice_post_min,Coal_post_min,Reservoirs_post_min,Other_post_min,BiomassBurn_post_min,Wetlands_post_min,Termites_post_min,Seeps_post_min,AnthroTotal_post_min,Total_post_min,Livestock_post_max,Waste_post_max,Oil-Gas_post_max,Rice_post_max,Coal_post_max,Reservoirs_post_max,Other_post_max,BiomassBurn_post_max,Wetlands_post_max,Termites_post_max,Seeps_post_max,AnthroTotal_post_max,Total_post_max,sensitivity
Afghanistan,0.4539716296685495,0.004997222694013305,0.01001403544369516,0.0,8.463538874320918e-05,0.011552030205682327,0.013361875694372142,2.607940115985868e-05,0.003537896956205858,0.05072858860805101,0.000502958775623357,0.49398142909505566,0.5487769528360957,0.6002384505472264,0.005985842783176969,0.016520884887278504,0.0,5.5504923131974415e-05,0.0063988466311192755,0.015644900365584784,3.0816518891833e-05,0.007708659719323187,0.08166826190375293,0.0011567061348286692,0.6448444301375178,0.7354088744143145,0.20105166486063952,0.0016375392668970916,0.003363335734618037,0.0,5.538391128169089e-05,0.0023613497731953563,0.0038078016297010096,1.1839246949027101e-05,0.003741648570777299,0.02880384189448261,0.00048194008809439,0.2090148824030989,0.24205407945813406,0.034555699635537285,5.148452434563817e-05,0.0003109412431136112,0.0,2.1223467639495375e-05,0.0026115749863476296,0.00018583355657857126,2.6857952490376208e-06,0.0009142972531373189,0.01038260290360149,0.0,0.03212659649920968,0.04338704848902053,0.5775414432350247
Albania,0.05374578765811518,0.03497718617301725,0.00081250263811791,0.0,8.463901992671035e-05,0.015714401385650438,0.003331185665373239,0.00045397779608383714,0.022677863115622393,0.0017653079577901463,0.00259295810220298,0.10866570254020072,0.13615580951190007,0.025907950162048762,0.01858993166293528,0.00032720348219700284,0.0,4.809928617656154e-05,0.008868852819300416,0.0017163943867629634,0.0001875427982677264,0.01085896158823854,0.0007054646588940805,0.0009875585709635377,0.05545843179942099,0.06819795941578488,0.00746545843637593,0.001598667395619053,0.0003451018497826451,0.0,1.876535252589884e-06,0.0010875293336688298,0.00018058092203052318,0.00017721667452540293,0.0036929163874102142,0.00011350418557422813,0.0005225610104136027,0.0066549477289180245,0.008698939721874716,0.008191192252467443,0.004411381244644137,0.0001491242866088179,0.0,2.0756043683344996e-05,0.002224183345571222,0.0004489125117851224,8.179830587741195e-05,0.003550584793909557,0.00023606940976950055,0.00040571132747275313,0.015433372268514364,0.019707536105543585,0.7245846359251109
Algeria,0.1976150758520298,0.38573626418016477,1.0064772771971098,0.0,0.0,0.0036181529696480757,0.017660215225426504,0.0020122409695840747,0.03673801214841556,0.038953596031584735,0.005823182716624319,1.6111069854243791,1.6946340172905878,0.13905678527825596,0.45040425626029323,1.1409526675007415,0.0,0.0,0.004140832105856667,0.021208828468400037,0.0018209019643377798,0.020034315553326226,0.03066813079747805,0.007527701666966142,1.7557633696135475,1.8158144195956558,0.09114090908597988,0.043631796729709904,0.38508792184397733,0.0,0.0,0.0006866784429777947,0.00828063162923602,4.0673862659452087e-05,0.02159140269591903,0.0051343168129714956,0.0030235625963943363,0.5012168215079253,0.5308584051759344,0.016940104899517833,0.018413544764314782,0.07379411824862836,0.0,0.0,0.0022244432977861685,0.0010078068620847126,0.00010769843727583147,0.006393939940602215,0.0018515474106792287,0.00034675681705726834,0.08834754984013338,0.08498962769472618,0.8627621153734594
Angola,0.43580405890241797,0.041114018244125694,0.7928193095277553,0.00033434190189117035,0.0,0.10614614546707636,0.06960432380530407,1.0311198305905747,0.543775863211168,0.2062463149806381,0.0003081757538842513,1.4458221978485706,3.227272382384836,0.31832770465746935,0.015756678627695146,0.22448514881257242,9.174798153367582e-05,0.0,0.059842318094645304,0.032168915835856966,0.6321176628547425,0.41404184209733547,0.12261671361956492,0.00014076186982502732,0.6506725140097729,1.8195894944512407,0.05753581060947299,0.0021006519212853035,0.266088447248317,0.0003511906888480446,0.0,0.001384383951510186,0.005805005962312856,0.27055823917993954,0.07790162594331024,0.04438277321420883,1.4995263071392783e-05,0.3044350136268469,0.6972652026718265,0.044158038981282954,0.00869169124331905,0.18791505755210675,9.121511490522834e-05,0.0,0.02398157019798027,0.014239220597931396,0.12678999991024031,0.035586352438214786,0.02774726452457904,5.6356915707172036e-05,0.2722374483757666,0.46241742216450743,0.5188250751743755
Argentina,2.724768627927025,0.7342565964104708,0.3471492466030557,0.017651364555814453,0.0002620088984813356,0.307535444320218,0.10152155253829269,0.08091750251351097,1.9065700996180872,0.1885534038184011,0.013557855270425745,4.233144841253357,6.422743702473782,3.53258748286638,1.2468134521654133,0.48957490404789517,0.015963002284042214,0.0002582208504705331,0.24200566529949497,0.14162330532732792,0.12637752868504443,1.8297114091591935,0.2575950112988849,0.01851559754795547,5.668826032841025,7.901025579532104,0.8574010641666412,0.37494031162617913,0.12669512842171377,0.0016364947731634504,7.740819776801838e-06,0.09645080927822966,0.0329386005391671,0.0442878779356385,0.41917603434608486,0.0701356375347292,0.005065506036670832,1.439231226323539,1.8618185300755625,0.4174938484250359,0.12898620175145115,0.16044904149788786,0.00018190657386742484,2.530865268744395e-06,0.027868990972152674,0.022825864146702762,0.0011732125423146167,0.048858115465958196,0.02556020453396518,0.009827486727481159,0.7129600041388819,0.798379023408601,0.635854712165345
Armenia,0.044222341415044324,0.02666631927618085,0.03708463714772685,0.0,0.0,0.00019618383138378143,0.003580752161120003,0.00022110594472929006,0.000633669430647595,0.002053257462709443,0.002226820834259167,0.11175023383145581,0.1168850875038013,0.0341588767495276,0.03549735395852055,0.039491821897167795,0.0,0.0,0.00014052066784268322,0.004224477338370737,0.00016961878984009,0.00046501837324058534,0.001542269172125601,0.001666132037269969,0.11351305061142937,0.11735608898390562,0.007993411021932535,0.005807617258203633,0.0037202202278038624,0.0,0.0,3.2452489332681167e-05,0.00042856197908059876,4.531670125943466e-05,9.771922235247402e-05,0.0002854070853290499,0.0003204893272948711,0.014675976947763347,0.015147322845393926,0.009820501387154762,0.002365358015299898,0.0005816568564168748,0.0,0.0,8.194107469158796e-05,0.00010976776757859637,4.7143240214716614e-05,0.0002321013670741743,0.0005757823882226734,0.0007008654490689753,0.004320446065493241,0.005875761693826059,0.254007030429102
Australia,2.627496698801077,0.01078150822043961,0.2839127307471117,0.0,1.0069951969894715,0.07242897234666137,0.06049440419537096,0.8816760773225601,1.566655327638844,0.8134097646219758,0.021461055111848735,4.0621095113001315,7.34531173599536,3.7017872274584684,0.01721888612302623,0.7167022843130466,0.0,0.9010117131819864,0.1419745272561413,0.1834182668350018,2.546508316708279,5.831737264395351,1.8895027462354308,0.049875086441490475,5.66211290516767,15.979736318948223,1.4428337171056103,0.002683973724845171,0.6423248795061142,0.0,0.03824202261577614,0.04901468295694378,0.09407218111239678,1.228623938796291,3.296586379892734,1.0012421745641384,0.027641412320607246,2.158397009418581,7.712277067308152,0.13004979284534057,0.007272875443274901,0.0850567793610868,0.0,0.04581309678600509,0.006708471485266987,0.01738953879693733,0.13745623688619668,0.37781602646408885,0.16258370213569795,0.001555827225503209,0.28808423056799004,0.9674960232794731,0.7653429913044043
Austria,0.17195884820143004,0.035088032938922833,0.010151586244820538,0.0,0.0,0.03448715112986901,0.03611977609688169,0.00016056905629375267,0.01863397347112708,0.005856536011417668,0.00765845466015471,0.2878053946119241,0.3201149278109173,0.3201804919152209,0.055462660516052344,0.01403717247888794,0.0,0.0,0.05504738125660453,0.054712296416599485,0.00021207279007464945,0.0325071494076216,0.009820404056128917,0.012005951875461216,0.4994400025833652,0.5539855807126515,0.018595058490776584,0.0058643041727773,0.0013401059383715622,0.0,0.0,0.001626694359621643,0.0027404546581714165,3.132150969446332e-05,0.003393651403684271,0.0007143935354470346,0.0007969746955434707,0.02591595495023602,0.028742786943415477,0.0030745656583296976,0.001733111231460957,0.000461634590314175,0.0,0.0,0.0016877760681153764,0.00035423225401366026,3.766602764266713e-06,0.0,9.564038817237198e-05,0.0,0.0029495164422175257,0.0028190584824024922,0.7275847193577747
Azerbaijan,0.19377869958859556,0.03207533044168836,0.4419535166419051,0.0,0.0,0.04858509631936555,0.0057798622628535065,0.0008005280515865389,0.002030448936384216,0.007171726236431326,0.11929458837240926,0.7221725052544081,0.8514697968512196,0.26861417678241345,0.04494177847670213,0.7852275466822974,0.0,0.0,0.0520984930113178,0.007602234223822445,0.0015921751889785007,0.002842850251526942,0.007797217064472344,0.19191175993976928,1.1584842291765531,1.3626282316213003,0.041736030394558504,2.673480863837896e-05,0.049475675832741484,0.0,0.0,0.004305804291320894,0.0001434941890445249,0.0006478427201486222,0.0002942079613055667,0.0021112623836552144,0.06309507770521247,0.08218055306314764,0.13415788445754084,0.011037568773378914,0.00432952714070025,0.0014321155977076172,0.0,0.0,0.004155054609052959,7.946433574295905e-05,8.418142319551987e-05,0.0001640155268886733,0.00015519978513642025,0.008387403511821295,0.016677468507244164,0.025468268754285983,0.6149022399948479
Bangladesh,0.8443430505122324,0.6410823008942038,0.06238428392316954,0.3843996553907034,0.011787047985785283,0.04921979275255712,0.15475308129962054,0.006388800375980995,4.497668729841876,0.018197353784057263,0.0008419671765076062,2.147969212758272,6.671066063936693,0.8483090638140122,1.1910011430685667,0.07459534473989969,2.6779853963631854,0.014783187643613275,0.030459927220777044,0.20159449479257868,0.005256929348728823,3.7271902967613277,0.015363291439102773,0.0007583830630524788,5.038728557642632,8.787297458254844,0.05613283154494797,0.0951027256300343,0.0006881202920724638,0.16284455173018042,0.0020739067007207214,0.022767555382112573,0.014604464493554625,0.00034708419027079055,0.58939343254929,8.740214560270035e-05,3.5326490292439915e-05,0.28391154000456,0.7515761028449308,0.04668103648498356,0.05808174369109098,0.008012424084508543,0.09080046755507265,0.001783530018029467,0.010599052763001156,0.010863717933956213,0.0009943341465681235,0.20517135349151783,0.0025858211431976606,8.52334891875558e-05,0.20640385318107324,0.19842958282303336,0.9445358191688216
