countries,Livestock_prior,Waste_prior,Oil-Gas_prior,Rice_prior,Coal_prior,Reservoirs_prior,Other_prior,AnthroTotal_prior,Total_prior,Livestock_post,Waste_post,Oil-Gas_post,Rice_post,Coal_post,Reservoirs_post,Other_post,AnthroTotal_post,Total_post,Livestock_post_min,Waste_post_min,Oil-Gas_post_min,Rice_post_min,Coal_post_min,Reservoirs_post_min,Other_post_min,AnthroTotal_post_min,Total_post_min,Livestock_post_max,Waste_post_max,Oil-Gas_post_max,Rice_post_max,Coal_post_max,Reservoirs_post_max,Other_post_max,AnthroTotal_post_max,Total_post_max,sensitivity
Angola,0.43580405890241797,0.041114018244125694,0.7928193095277553,0.00033434190189117035,0.0,0.10614614546707636,0.06960432380530407,1.4458221978485706,1.4458221978485706,0.31832770465746935,0.015756678627695146,0.22448514881257242,9.174798153367582e-05,0.0,0.059842318094645304,0.032168915835856966,0.6506725140097729,0.6506725140097729,0.05753581060947299,0.0021006519212853035,0.266088447248317,0.0003511906888480446,0.0,0.001384383951510186,0.005805005962312856,0.3044350136268469,0.3044350136268469,0.044158038981282954,0.00869169124331905,0.18791505755210675,9.121511490522834e-05,0.0,0.02398157019798027,0.014239220597931396,0.2722374483757666,0.2722374483757666,0.5188250751743755
Argentina,2.724768627927025,0.7342565964104708,0.3471492466030557,0.017651364555814453,0.0002620088984813356,0.307535444320218,0.10152155253829269,4.233144841253357,4.233144841253357,3.53258748286638,1.2468134521654133,0.48957490404789517,0.015963002284042214,0.0002582208504705331,0.24200566529949497,0.14162330532732792,5.668826032841025,5.668826032841025,0.8574010641666412,0.37494031162617913,0.12669512842171377,0.0016364947731634504,7.740819776801838e-06,0.09645080927822966,0.0329386005391671,1.439231226323539,1.439231226323539,0.4174938484250359,0.12898620175145115,0.16044904149788786,0.00018190657386742484,2.530865268744395e-06,0.027868990972152674,0.022825864146702762,0.7129600041388819,0.7129600041388819,0.635854712165345
Armenia,0.044222341415044324,0.02666631927618085,0.03708463714772685,0.0,0.0,0.00019618383138378143,0.003580752161120003,0.11175023383145581,0.11175023383145581,0.0341588767495276,0.03549735395852055,0.039491821897167795,0.0,0.0,0.00014052066784268322,0.004224477338370737,0.11351305061142937,0.11351305061142937,0.007993411021932535,0.005807617258203633,0.0037202202278038624,0.0,0.0,3.2452489332681167e-05,0.00042856197908059876,0.014675976947763347,0.014675976947763347,0.009820501387154762,0.002365358015299898,0.0005816568564168748,0.0,0.0,8.194107469158796e-05,0.00010976776757859637,0.004320446065493241,0.004320446065493241,0.254007030429102
Australia,2.627496698801077,0.01078150822043961,0.2839127307471117,0.0,1.0069951969894715,0.07242897234666137,0.06049440419537096,4.0621095113001315,4.0621095113001315,3.7017872274584684,0.01721888612302623,0.7167022843130466,0.0,0.9010117131819864,0.1419745272561413,0.1834182668350018,5.66211290516767,5.66211290516767,1.4428337171056103,0.002683973724845171,0.6423248795061142,0.0,0.03824202261577614,0.04901468295694378,0.09407218111239678,2.158397009418581,2.158397009418581,0.13004979284534057,0.007272875443274901,0.0850567793610868,0.0,0.04581309678600509,0.006708471485266987,0.01738953879693733,0.28808423056799004,0.28808423056799004,0.7653429913044043
Austria,0.17195884820143004,0.035088032938922833,0.010151586244820538,0.0,0.0,0.03448715112986901,0.03611977609688169,0.2878053946119241,0.2878053946119241,0.3201804919152209,0.055462660516052344,0.01403717247888794,0.0,0.0,0.05504738125660453,0.054712296416599485,0.4994400025833652,0.4994400025833652,0.018595058490776584,0.0058643041727773,0.0013401059383715622,0.0,0.0,0.001626694359621643,0.0027404546581714165,0.02591595495023602,0.02591595495023602,0.0030745656583296976,0.001733111231460957,0.000461634590314175,0.0,0.0,0.0016877760681153764,0.00035423225401366026,0.0029495164422175257,0.0029495164422175257,0.7275847193577747
Azerbaijan,0.19377869958859556,0.03207533044168836,0.4419535166419051,0.0,0.0,0.04858509631936555,0.0057798622628535065,0.7221725052544081,0.7221725052544081,0.26861417678241345,0.04494177847670213,0.7852275466822974,0.0,0.0,0.0520984930113178,0.007602234223822445,1.1584842291765531,1.1584842291765531,0.041736030394558504,2.673480863837896e-05,0.049475675832741484,0.0,0.0,0.004305804291320894,0.0001434941890445249,0.08218055306314764,0.08218055306314764,0.011037568773378914,0.00432952714070025,0.0014321155977076172,0.0,0.0,0.004155054609052959,7.946433574295905e-05,0.016677468507244164,0.016677468507244164,0.6149022399948479
Bangladesh,0.8443430505122324,0.6410823008942038,0.06238428392316954,0.3843996553907034,0.011787047985785283,0.04921979275255712,0.15475308129962054,2.147969212758272,2.147969212758272,0.8483090638140122,1.1910011430685667,0.07459534473989969,2.6779853963631854,0.014783187643613275,0.030459927220777044,0.20159449479257868,5.038728557642632,5.038728557642632,0.05613283154494797,0.0951027256300343,0.0006881202920724638,0.16284455173018042,0.0020739067007207214,0.022767555382112573,0.014604464493554625,0.28391154000456,0.28391154000456,0.04668103648498356,0.05808174369109098,0.008012424084508543,0.09080046755507265,0.001783530018029467,0.010599052763001156,0.010863717933956213,0.20640385318107324,0.20640385318107324,0.9445358191688216
Belarus,0.3572534226126879,0.23050697803472234,0.11542544490158035,0.0,0.0,0.0,0.023014858580503696,0.7262007041294942,0.7262007041294942,0.25073558228880083,0.3530140884139428,0.1657436774796216,0.0,0.0,0.0,0.03445138611830763,0.8039447343006729,0.8039447343006729,0.00814641502795413,0.03213155403378121,0.011566224677760889,0.0,0.0,0.0,0.0033963430099807797,0.031419851803184184,0.031419851803184184,0.014046093237628288,0.0,0.0022750586809535123,0.0,0.0,0.0,0.0,0.0,0.0,0.9024673524804522
Belgium,0.20666784240288918,0.031200515987892204,0.01796850960501296,0.0,0.0,0.0002630015840776825,0.036401874240886596,0.2925017438207586,0.2925017438207586,0.40223129557196363,0.05278852645882175,0.032678106003943615,0.0,0.0,0.0008360601652522603,0.06317180579955285,0.5517057939995341,0.5517057939995341,0.05169452629392651,0.003940052906014194,0.0030882968072165166,0.0,0.0,0.00030881056587965885,0.00531137500440914,0.06423040412066838,0.06423040412066838,0.004436283142547126,0.004253195364298613,0.001623050931155924,0.0,0.0,0.0,0.00468274816746074,0.008609840424838477,0.008609840424838477,0.5326822096755732
Benin,0.1341595506488813,0.026898580867222785,0.00022579307642573625,0.0716396086203065,0.0,0.0,0.027633881448460136,0.26055741466129645,0.26055741466129645,0.08808430142572993,0.01968797698174123,0.00015735170122717492,0.03244128040134903,0.0,0.0,0.01945839440420676,0.15982930491425412,0.15982930491425412,0.032585192809633165,0.0010392342310817197,2.9523615728378977e-05,0.12196650035996173,0.0,0.0,0.0033041394024606006,0.15892459041886559,0.15892459041886559,0.023026621780637926,0.0036418701402517184,3.442937512461767e-05,0.01972824735917894,0.0,0.0,0.004142644290666346,0.050573812945859525,0.050573812945859525,0.0707674321589961
