countries,Reservoirs_prior,Termites_prior,Seeps_prior,Natural_prior,Wetlands_prior,BiomassBurn_prior,OtherAnth_prior,OtherAnthPlusRes_prior,Rice_prior,Wastewater_prior,Landfills_prior,Livestock_prior,Coal_prior,OilAndGas_prior,Total_Anth_Prior,Total_prior,Reservoirs_post,Termites_post,Seeps_post,Natural_post,Wetlands_post,BiomassBurn_post,OtherAnth_post,OtherAnthPlusRes_post,Rice_post,Wastewater_post,Landfills_post,Livestock_post,Coal_post,OilAndGas_post,Total_Anth_Post,Total_posterior
Djibouti,0,0.002158665703,0.001179250573,0.003337916276,0.0005216367832,1.08E-05,0.002227235116,0.002227235116,0,0.000855884429,0.002624151416,0.01079901528,0,4.26E-08,1.65E-02,0.02037667866,0,0.00212778338,0.001162379968,0.003290163348,0.0005141741383,1.06E-05,0.002195371825,0.002195371825,0,0.0008436399675,0.002586609758,0.01064452232,0,4.20E-08,1.63E-02,0.02008516564
Somaliland,0,0.02452979068,0.0002087173586,0.02473850804,0.002713687638,1.56E-05,0.02129043525,0.02129043525,0,0.004383304953,0.002246043336,0.1301968887,0,0.0006192862779,1.59E-01,0.1862037322,0,0.02354451144,0.0001861285351,0.02373063998,0.002673127705,1.54E-05,0.02159227599,0.02159227599,0,0.004446392904,0.002277337633,0.1264462396,0,0.0006078842727,1.55E-01,0.1817893323
Uganda,0,0.04358415656,0.001503362628,0.04508751919,0.677673453,0.05557757631,0.1060018538,0.1060018538,0.0161425966,0.2685165562,0.02083688875,0.6223982384,0,0.009495424007,1.10E+00,1.821730106,0,0.1038636187,0.002922479839,0.1067860986,1.517789093,0.1002057775,0.3226703446,0.3226703446,0.0504672256,0.6043503038,0.05012158757,1.882502298,0,0.02911698672,3.04E+00,4.664009715
Rwanda,0,0.004216284475,0.000620557333,0.004836841808,0.06271518513,0.0005645992744,0.03272479791,0.03272479791,0.004223962906,0.02659513399,0.005824126709,0.166604054,0,0.0001229586156,2.37E-01,0.3042116603,0,0.01686253096,0.003960951507,0.02082348246,0.2471437853,0.001582597852,0.1431626313,0.1431626313,0.009023041412,0.143398149,0.0319711668,0.7501435124,0,0.0005916260359,1.08E+00,1.347839993
South Sudan,0,0.1297704509,0.0001213789816,0.1298918299,1.568169403,0.3216919534,0.01558359605,0.01558359605,0,0.1164657544,0.06708963602,0.5578412066,0,0.02273962536,1.10E+00,2.799473004,0,0.3702504894,0.0004119644324,0.3706624538,4.898570389,0.9128316784,0.04667927194,0.04667927194,0,0.3626560915,0.2091277863,1.641129229,0,0.06345040706,3.24E+00,8.505107307
Chad,0,0.161724764,0.0004200028858,0.1621447668,2.109930076,0.08086525941,0.04699975862,0.04699975862,0.00364015895,0.00416773714,0.0007815763259,0.4626420962,0,0.07359146418,6.73E-01,2.944762893,0,0.236795274,0.0002757237786,0.2370709978,1.623995587,0.06872077831,0.07040442421,0.07040442421,0.001571221904,0.008137590605,0.001480358849,0.9330771157,0,0.224239421,1.31E+00,3.168697495
Niger,0,0.1155659729,0.0002858487758,0.1158518216,0.1364693116,0.007071024209,0.04918853012,0.04918853012,0,0.02785892621,0.001717486409,0.7883760392,0.0002814733606,0.006535197349,8.81E-01,1.13334981,0,0.1779666007,0.0002896535086,0.1782562542,0.2957078537,0.07951932874,0.1618104625,0.1618104625,0,0.03508908666,0.002368357022,2.013173278,0.0002937201851,0.01054644266,2.30E+00,2.776764784
Mauritania,0,0.02897641348,0,0.02897641348,0.06004609978,0.00104508659,0.01210762444,0.01210762444,0,0.0001050630101,6.60E-05,0.2096913201,0,0.0008747963591,2.24E-01,0.312912372,0,0.02271093648,0,0.02271093648,0.04323900105,0.0007830880345,0.01072663953,0.01072663953,0,0.0001031492419,6.50E-05,0.1604451364,0,0.0007750113492,1.73E-01,0.238847975
Mali,0.06188831487,0.1163820546,1.94E-05,1.16E-01,0.5709217559,0.05978384089,0.03971536182,0.1016036767,0,0.009078977923,0.001888167455,2.936746561,0,0.005558845996,3.11E+00,3.801983283,0.02085234745,0.07563078651,8.02E-06,7.56E-02,0.3377890862,0.03007284371,0.02121461593,0.04206696337,0,0.003174291672,0.0006693982925,1.919302777,0,0.003108121658,2.00E+00,2.411822284
Sudan,0.3214498942,0.1620165618,0.0001942060128,0.1622107678,0.6153511861,0.05005212263,0.06430769556,0.3857575897,0,0.0482538726,0.02776819854,1.983993549,0,0.04214665896,2.54E+00,3.315533945,0.751219497,0.3493239884,0.0001941001643,0.3495180886,1.391312606,0.2271632472,0.1053550986,0.8565745956,0,0.08743906401,0.05032437431,3.638584854,0,0.03706616805,4.90E+00,6.637982998
